x,y,r,num
60,-100,16,1
130,110,23,1
180,-10,28,1
290,-10,39,1
290,-180,39,1
320,210,42,1
420,-10,52,1
760,110,86,1
800,300,90,1
840,-90,94,1
0,0,50.9,1
130,20,23,2
140,230,24,2
190,290,29,2
200,-230,30,2
340,-160,44,2
400,60,50,2
460,300,56,2
510,-140,61,2
690,-100,79,2
810,160,91,2
0,0,48.7,2
20,-240,12,3
170,-40,27,3
180,230,28,3
200,-220,30,3
260,-190,36,3
480,190,58,3
680,-240,78,3
730,250,83,3
730,-80,83,3
900,-100,100,3
0,0,53.5,3
100,150,20,4
130,-50,23,4
220,-250,32,4
260,-110,36,4
560,160,66,4
570,0,67,4
600,-250,70,4
600,-100,70,4
640,280,74,4
750,80,85,4
0,0,54.3,4
130,240,23,5
190,-180,29,5
350,250,45,5
370,-280,47,5
480,100,58,5
510,250,61,5
530,-220,63,5
590,-50,69,5
640,150,74,5
850,-280,95,5
0,0,56.4,5
100,210,20,6
140,60,24,6
200,20,30,6
200,-210,30,6
420,0,52,6
470,-250,57,6
540,150,64,6
660,220,76,6
750,-210,85,6
780,-10,88,6
0,0,52.6,6
170,300,27,7
190,-230,29,7
290,-80,39,7
290,-150,39,7
390,-300,49,7
440,120,54,7
510,-50,61,7
640,-10,74,7
740,-180,84,7
870,110,97,7
0,0,55.3,7
130,110,23,8
170,-210,27,8
240,90,34,8
240,-220,34,8
320,270,42,8
360,-230,46,8
600,-180,70,8
770,-10,87,8
890,-210,99,8
900,170,100,8
0,0,56.2,8
10,250,11,9
20,-60,12,9
130,20,23,9
270,190,37,9
360,-120,46,9
400,-220,50,9
480,-60,58,9
570,40,67,9
720,-300,82,9
740,80,84,9
0,0,47,9
0,-40,10,10
180,-60,28,10
200,10,30,10
240,-140,34,10
520,-120,62,10
520,0,62,10
570,170,67,10
690,-180,79,10
780,0,88,10
900,250,100,10
0,0,56,10
60,170,16,11
190,-100,29,11
220,-150,32,11
290,100,39,11
360,170,46,11
550,130,65,11
640,-100,74,11
700,90,80,11
840,160,94,11
890,-80,99,11
0,0,57.4,11
10,-100,11,12
20,20,12,12
150,-210,25,12
270,-290,37,12
400,200,50,12
590,250,69,12
730,-140,83,12
770,270,87,12
850,10,95,12
860,-250,96,12
0,0,56.5,12
30,220,13,13
40,-240,14,13
60,50,16,13
70,-60,17,13
190,180,29,13
390,200,49,13
450,50,55,13
700,0,80,13
710,-300,81,13
850,-150,95,13
0,0,44.9,13
220,290,32,14
250,180,35,14
290,280,39,14
360,-140,46,14
400,290,50,14
440,-100,54,14
570,-10,67,14
640,-160,74,14
760,300,86,14
850,0,95,14
0,0,57.8,14
0,-120,10,15
0,-240,10,15
200,60,30,15
230,-250,33,15
340,160,44,15
460,-260,56,15
570,-200,67,15
600,20,70,15
740,190,84,15
840,-130,94,15
0,0,49.8,15
70,-250,17,16
150,-110,25,16
230,220,33,16
340,-300,44,16
390,200,49,16
420,-60,52,16
580,-180,68,16
690,-20,79,16
800,180,90,16
870,-260,97,16
0,0,55.4,16
30,-180,13,17
70,50,17,17
280,130,38,17
410,-70,51,17
470,260,57,17
530,-70,63,17
560,190,66,17
610,10,71,17
750,-220,85,17
780,230,88,17
0,0,54.9,17
10,-40,11,18
30,-150,13,18
70,-180,17,18
170,-200,27,18
320,300,42,18
340,60,44,18
350,-200,45,18
370,-40,47,18
840,-70,94,18
890,260,99,18
0,0,43.9,18
40,-180,14,19
150,50,25,19
290,-140,39,19
360,130,46,19
430,200,53,19
590,-250,69,19
620,-30,72,19
780,100,88,19
900,220,100,19
900,-80,100,19
0,0,60.6,19
60,130,16,20
70,0,17,20
150,300,25,20
270,260,37,20
310,0,41,20
540,60,64,20
670,-260,77,20
790,-180,89,20
820,230,92,20
820,10,92,20
0,0,55,20
