x,y,r,num
110,-190,89,21
170,-40,83,21
220,70,78,21
260,-250,74,21
440,30,56,21
530,-100,47,21
540,50,46,21
550,-210,45,21
670,-60,33,21
900,-70,10,21
0,0,56.1,21
180,-160,82,22
230,120,77,22
460,230,54,22
470,-20,53,22
520,130,48,22
550,-140,45,22
590,190,41,22
610,-70,39,22
840,-160,16,22
860,180,14,22
0,0,46.9,22
0,-200,100,23
130,10,87,23
210,-200,79,23
220,260,78,23
350,300,65,23
370,60,63,23
380,-130,62,23
490,40,51,23
850,30,15,23
880,150,12,23
0,0,61.2,23
40,300,96,24
80,-280,92,24
150,-140,85,24
230,10,77,24
340,140,66,24
380,-10,62,24
540,-220,46,24
650,-250,35,24
750,-30,25,24
900,70,10,24
0,0,59.4,24
190,20,81,25
370,-60,63,25
440,220,56,25
450,80,55,25
450,-240,55,25
570,20,43,25
720,240,28,25
740,70,26,25
750,-100,25,25
800,-130,20,25
0,0,45.2,25
60,-90,94,26
100,300,90,26
140,110,86,26
480,-10,52,26
580,210,42,26
610,-10,39,26
610,-180,39,26
720,-10,28,26
770,110,23,26
840,-100,16,26
0,0,50.9,26
70,-30,93,27
270,230,73,27
270,-140,73,27
370,80,63,27
490,-120,51,27
610,170,39,27
630,90,37,27
750,280,25,27
750,-220,25,27
790,10,21,27
0,0,50,27
90,160,91,28
210,-100,79,28
390,-140,61,28
440,300,56,28
500,60,50,28
560,-160,44,28
700,-230,30,28
710,290,29,28
760,230,24,28
770,20,23,28
0,0,48.7,28
0,60,100,29
110,230,89,29
220,-230,78,29
360,-100,64,29
370,10,63,29
390,150,61,29
460,-200,54,29
640,-170,36,29
680,300,32,29
830,-70,17,29
0,0,59.4,29
60,-40,94,30
250,-60,75,30
320,-210,68,30
550,-60,45,30
570,210,43,30
660,-40,34,30
670,-160,33,30
700,-200,30,30
740,150,26,30
800,20,20,30
0,0,46.8,30
70,200,93,31
150,-140,85,31
180,20,82,31
310,40,69,31
420,210,58,31
620,-10,38,31
630,50,37,31
850,-100,15,31
890,-150,11,31
900,210,10,31
0,0,49.8,31
0,10,100,32
120,150,88,32
140,-150,86,32
320,50,68,32
450,290,55,32
490,120,51,32
610,260,39,32
710,30,29,32
830,140,17,32
880,120,12,32
0,0,54.5,32
90,-20,91,33
190,240,81,33
260,-150,74,33
300,110,70,33
400,10,60,33
530,-300,47,33
610,-150,39,33
630,-280,37,33
680,-210,32,33
900,80,10,33
0,0,54.1,33
0,-270,100,34
30,140,97,34
90,-70,91,34
230,220,77,34
400,30,60,34
480,-100,52,34
520,-240,48,34
620,10,38,34
640,-250,36,34
820,50,18,34
0,0,61.7,34
60,-40,94,35
130,190,87,35
210,-170,79,35
350,50,65,35
360,210,64,35
430,-200,57,35
570,190,43,35
620,-100,38,35
830,-20,17,35
890,150,11,35
0,0,55.5,35
0,100,100,36
170,160,83,36
180,-210,82,36
490,160,51,36
500,-30,50,36
510,-250,49,36
590,200,41,36
670,-180,33,36
750,200,25,36
820,-150,18,36
0,0,53.2,36
40,-110,96,37
170,80,83,37
210,260,79,37
330,-100,67,37
420,80,58,37
470,220,53,37
500,-180,50,37
720,-150,28,37
730,-210,27,37
880,270,12,37
0,0,55.3,37
100,200,90,38
220,-130,78,38
260,120,74,38
360,-220,64,38
450,-150,55,38
520,50,48,38
530,200,47,38
610,-270,39,38
770,250,23,38
840,60,16,38
0,0,53.4,38
50,-140,95,39
190,50,81,39
270,-90,73,39
330,90,67,39
440,160,56,39
480,70,52,39
620,220,38,39
720,-130,28,39
730,-10,27,39
770,280,23,39
0,0,54,39
50,-170,95,40
150,140,85,40
300,150,70,40
420,-60,58,40
550,20,45,40
560,-260,44,40
690,40,31,40
800,-220,20,40
830,-200,17,40
900,-180,10,40
0,0,47.5,40
